,station_number,wban_number,year,month,day,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_station_pressure,num_mean_station_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,min_temperature,min_temperature_explicit,total_precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado
0,680540,99999,1992,1,29,80.6999969482,6,60.5999984741,6.0,,,,,18.6000003815,6.0,,,,,62.5999984741,False,,,0.0,,False,False,False,False,False,False
1,716300,99999,2000,2,21,28.3999996185,15,18.2000007629,15.0,1025.40002441,15.0,989.700012207,5.0,14.6000003815,15.0,4.80000019073,15.0,8.89999961853,,13.6000003815,True,,,0.019999999553,9.39999961853,False,False,False,False,False,False
2,711850,99999,2005,5,10,44.4000015259,8,40.2999992371,8.0,1020.5,8.0,1018.09997559,8.0,8.30000019073,8.0,6.0,8.0,13.0,,33.0999984741,False,,,0.0,,False,False,False,False,False,False
3,299150,99999,2006,4,21,47.0999984741,8,25.2999992371,8.0,1016.40002441,8.0,1001.0,8.0,24.1000003815,8.0,9.5,8.0,13.6000003815,,28.2000007629,False,,,0.0,,False,False,False,False,False,False
4,113080,99999,1996,5,15,48.0999984741,8,43.7999992371,8.0,,,846.400024414,8.0,,,2.20000004768,8.0,2.90000009537,,43.0,False,,,0.140000000596,,False,False,False,False,False,False
5,760051,99999,1984,10,17,69.0,13,45.5999984741,13.0,,,,,10.1000003815,13.0,6.69999980927,13.0,15.0,,53.5999984741,True,,,0.0,,False,False,False,False,False,False
6,319690,99999,2001,2,17,25.2999992371,8,15.1000003815,8.0,1016.5,8.0,,,11.6999998093,8.0,3.90000009537,8.0,9.69999980927,,9.89999961853,False,,,0.0,,False,False,False,False,False,False
7,959880,99999,2005,12,10,58.7999992371,8,45.7000007629,8.0,1010.40002441,8.0,1007.0,8.0,,,12.5,8.0,22.0,,51.7999992371,False,,,0.0,,False,False,False,False,False,False
8,724235,13810,1992,7,10,80.9000015259,23,71.5,23.0,,,,,6.59999990463,23.0,8.39999961853,23.0,14.0,,72.0,True,,,0.0,,False,False,False,False,False,False
9,637200,99999,2007,10,18,73.8000030518,4,53.0,4.0,,,,,18.6000003815,4.0,3.79999995232,4.0,6.0,,59.9000015259,False,,,0.0,,False,False,False,False,False,False
